,sentiment
哥哥,91.63460459939412
巧克力,278.76743603442833
两个,42.17567247185724
卧槽,51.9337678390468
奸笑,47.71625079435752
姐姐,137.152287049254
耶,138.72646626137987
英雄,270.3638738797396
害羞,162.24533658087051
回来,74.96243848824724
老婆,59.90963822625316
求,67.14941549115838
穿,32.293738124031115
点,94.1946034171828
装修,136.7962093953426
祈祷,312.0672708577388
大家,89.06451152132118
回家,191.4041161177116
女,21.98721790608026
我家,-2.0695726717991265
小姐姐,105.10850388577151
谢谢,184.12209117151184
啊啊啊,133.86299339113972
老师,115.88325971099303
电影,-20.04509286111839
刚刚,-8.936520246721793
起来,79.29878255787716
欢迎,242.61588967577558
狗,-21.010985334176247
老,89.27608362867798
发现,-22.353197535425217
希望,119.55889858403194
翻,79.65539455150687
朋友,130.14665098573025
逼,91.63284689469937
完,-19.48965030664516
钱,-3.7441659264883307
哭,58.717349335948334
点赞,171.69414759009888
名字,31.537112897090697
带,33.55189872528002
想要,42.7953571376006
可能,10.298715918649494
支持,229.16230746275653
渣,50.40442698611248
看着,88.81730494336531
快哭了,113.03562622742423
辛苦,258.4502282569101
问,-14.339779218941139
牛,114.19897727705377
评论,2.964746820057389
看见,-16.99703943451993
有没有,14.675358565264286
平安,333.9716662635532
年,11.64144409468977
一次,-5.027528846535231
可怜,118.94588271793626
电视剧,37.744347850446225
原来,37.334308437146085
黑脸,-52.096059228208674
东西,14.32057956208587
请,68.9751151689531
声音,104.23860577615173
儿子,51.88511521813035
刷到,-21.82068430705029
心心,321.8010540810857
兄弟,73.34140685874904
给力,310.9070293825858
机智,121.92167924914602
偷笑,72.41175078917551
女朋友,-30.181838737530462
月,-35.843543679384496
以前,27.049924032265142
终于,29.92885789379157
懂,52.208681892606265
妈妈,127.19014974218466
更新,-1.7246568386465153
告诉,2.0296126532182877
美,179.92943353412198
有人,9.902509560614813
我要,16.1919194124661
直接,-9.618921637751853
怕,15.420207099266793
不好,39.680841208390255
永远,146.98594965809485
特别,129.00308581974758
你好,182.31627808922337
头发,30.100887551699962
里面,12.880040564379982
肯定,5.876999604175301
世界,106.81878502279747
好多,25.742748083920617
不到,-24.45020978962429
为啥,3.3840224856366308
链接,18.943143640947103
不失礼貌的微笑,31.568978642498376
一点,50.65260002186196
衣服,39.64475483656155
需要,49.92297691431608
后,13.646806465252155
居然,2.295825035549275
家里,-4.427899248916675
刚,-11.332494060682638
开,4.461689899325007
地方,68.43906783651416
后面,32.64194926042856
爱慕,294.37233815764
女孩,51.87307443071238
其实,81.25039009067495
喝,-15.46007273598262
幸福,194.39320648155632
真是,105.77213828657969
跳,119.96458292078387
猫,9.502969440168254
危险,184.19627566326983
迷人,216.52930109264594
不了,15.558624952130442
呆无辜,27.24310249317425
调皮,150.92676740847696
来看我,207.1779206940671
一天,23.49675795015334
刚刷,47.77400341216489
柠檬,-8.30979228305448
宝宝,95.97286662695694
跑,-17.059695247207017
不用,10.374269911127785
努力,109.95715154931506
帅,106.12442039851285
你家,36.7321888032338
好帅,181.21667680090286
放,-32.41973370728138
人民,256.6942347309107
不想,8.581677420190719
第一,56.60314954634927
问题,-1.8688335387134718
音乐,76.75683631210828
宝贝,140.72318361974357
眼睛,51.84253071943902
火,57.80752843679245
样子,81.735295561987
干,84.53464105406067
父母,60.07686675650425
不行,2.565946936478891
有个,23.209509059833813
妈,21.366652253707755
一只,12.68957860014635
每次,30.51095748596775
请问,36.232371161407244
感动,170.66291847405716
高,78.24474081085586
所有,93.96725775439225
疫情,82.66643106686911
心,144.97796111748698
柠檬树,-50.660632301295756
女儿,89.53851620633927
好吃,83.96646631857774
送,40.06565458743892
记得,26.721927747119466
一种,104.22120228808687
天天,21.092226261861384
粉丝,72.83486094441915
总,77.21728049271793
同学,70.13714884431712
口罩,47.724819851544794
帮,42.81340305039918
憨,94.05923814015998
歌,82.56794598100775
生活,114.51466483794081
车,18.67321386871867
全国,129.86736157934965
女生,30.945147458509975
每天,29.77539570553263
看过,12.459210599311996
哒,222.53506680666322
妹妹,81.54070194297253
电视,33.850339658699234
美国,77.96081659644491
几个,19.04967621223767
事,44.384662780167474
瘦,47.92075340449739
爸爸,64.03042633321004
直播,30.122563529571302
开心,75.338596832143
快乐,103.026349142132
男生,29.231541474703555
国家,130.03436464418684
画,73.9190480992366
保护,174.6867139823919
晚上,20.976144772334607
拥抱,129.9558015628362
手,25.28396031006052
突然,-0.07380740016829457
骄傲,249.7859236654051
羡慕,112.11728995056743
吖,44.973926225361524
简单,108.89060089227749
碰拳,249.91310186961726
唱歌,131.40248606288696
话,62.62507784103764
人生,68.76824148138155
奶奶,118.63634469154707
动态,23.309805100528536
生,60.15164632059305
首歌,75.67208088402069
有钱,72.64276225139118
小时候,34.41432293396196
温柔,98.2315842644256
一生,197.4266911239796
天,68.02877261517038
白眼,-10.881750175931625
找到,25.89882888029848
花,56.90732907842913
时间,27.087278492186194
之前,7.349859183306046
只能,39.565241647782216
白衣天使,231.4820561394182
卖,4.194823032038413
爱情,42.5329689459831
发,18.68982316747064
疑问,5.41897835580007
一句,10.196002686608951
致敬,225.7570656733585
必须,126.8053426137702
睡,2.2666552989439106
沙发,34.1856777324854
祖国,227.47170768673772
